label,Auroc,Accuracy
exchangeable_brown_normal_normal_,0.017561160062421716,0.025215452379021053
exchangeable_brown_normal_raleigh_,0.01463783562048017,0.013232623346500763
exchangeable_brown_normal_uni_,0.005490286092344202,0.007386160767779234
exchangeable_brown_raleigh_normal_,0.022993181350223383,0.030075791263468744
exchangeable_brown_raleigh_raleigh_,0.0182413913879062,0.017329693598068515
exchangeable_brown_raleigh_uni_,0.004510972126480815,0.009986175286487582
exchangeable_brown_uni_normal_,0.018294567060906847,0.018173036952206838
exchangeable_brown_uni_raleigh_,0.01442794553659461,0.01577118223166264
exchangeable_brown_uni_uni_,0.0,0.0
exchangeable_exp_normal_normal_,0.01959036520669656,0.014660520859340012
exchangeable_exp_normal_raleigh_,0.014687644951253544,0.014062259981628713
exchangeable_exp_normal_uni_,0.006700717692600162,0.0
exchangeable_exp_raleigh_normal_,0.028278588171752772,0.021485769876908936
exchangeable_exp_raleigh_raleigh_,0.006169966683971823,0.0
exchangeable_exp_raleigh_uni_,0.0,0.0
exchangeable_exp_uni_normal_,0.01875455189363832,0.010602678568942491
exchangeable_exp_uni_raleigh_,0.008644509977223555,0.008477239076118507
exchangeable_exp_uni_uni_,0.005260009884546509,0.005454957060596978
exchangeable_inv_normal_normal_,0.02975950915348575,0.02303014990539894
exchangeable_inv_normal_raleigh_,0.028874165145648563,0.022624231167506125
exchangeable_inv_normal_uni_,0.0,0.0
exchangeable_inv_raleigh_normal_,0.03427805692113417,0.03809815952828272
exchangeable_inv_raleigh_raleigh_,0.025409997308610988,0.03347685952063793
exchangeable_inv_raleigh_uni_,0.0,0.002679175974389061
exchangeable_inv_uni_normal_,0.020911837225569867,0.017485360384930503
exchangeable_inv_uni_raleigh_,0.03217636726944356,0.028575089295251727
exchangeable_inv_uni_uni_,0.0,0.0
exchangeable_linear_normal_normal_,0.025282842571311564,0.02559469136089804
exchangeable_linear_normal_raleigh_,0.015593308738088795,0.017218618176008876
exchangeable_linear_normal_uni_,0.0033673395279604106,0.0006120106123045065
exchangeable_linear_raleigh_normal_,0.025153445308732647,0.025063689414180242
exchangeable_linear_raleigh_raleigh_,0.0,0.007004755542577407
exchangeable_linear_raleigh_uni_,0.0038356080822791586,0.013906455705452753
exchangeable_linear_uni_normal_,0.022108040859814434,0.01994063518339389
exchangeable_linear_uni_raleigh_,0.008803272506734187,0.006683095296947153
exchangeable_linear_uni_uni_,0.0,0.0
exchangeable_log_normal_normal_,0.0,0.0
exchangeable_log_normal_raleigh_,0.0004538684037996624,0.0
exchangeable_log_normal_uni_,0.0,0.0
exchangeable_log_raleigh_normal_,0.005791012121098843,0.004845845290499986
exchangeable_log_raleigh_raleigh_,0.02123328109080133,0.02010879727307224
exchangeable_log_raleigh_uni_,0.0,0.0
exchangeable_log_uni_normal_,0.0,0.0
exchangeable_log_uni_raleigh_,0.001081177364990798,0.0
exchangeable_log_uni_uni_,0.004093756722791873,0.0031312098590174403
exchangeable_mix_normal_normal_,0.02734417053358532,0.0213176347478962
exchangeable_mix_normal_raleigh_,0.019766111078222397,0.0175828160425737
exchangeable_mix_normal_uni_,0.009830189305706994,0.010141314631046412
exchangeable_mix_raleigh_normal_,0.03366055001196734,0.03594857917883188
exchangeable_mix_raleigh_raleigh_,0.017934327941546733,0.01591093991533133
exchangeable_mix_raleigh_uni_,0.0030770432106303337,0.00866091364419587
exchangeable_mix_uni_normal_,0.025906941917670772,0.02562326834869192
exchangeable_mix_uni_raleigh_,0.011195176358507754,0.016012524275628496
exchangeable_mix_uni_uni_,0.002312313074212214,0.00291066189707735
exchangeable_poly1_normal_normal_,0.020037457748349054,0.024188883755223257
exchangeable_poly1_normal_raleigh_,0.017053304383403894,0.022204498969905576
exchangeable_poly1_normal_uni_,0.011312635609072553,0.009762450831159964
exchangeable_poly1_raleigh_normal_,0.027315000738436304,0.02856802680000388
exchangeable_poly1_raleigh_raleigh_,0.036171678781141026,0.028847632572958
exchangeable_poly1_raleigh_uni_,0.015865299446441408,0.016466009812268242
exchangeable_poly1_uni_normal_,0.03361178169408743,0.030454330115151442
exchangeable_poly1_uni_raleigh_,0.018663130190700365,0.014777800625988637
exchangeable_poly1_uni_uni_,0.00966419932911282,0.0005076952357872403
exchangeable_poly2_normal_normal_,0.009859924920978223,0.010750126332159788
exchangeable_poly2_normal_raleigh_,0.0,0.0
exchangeable_poly2_normal_uni_,0.017136714999715346,0.02041505771097856
exchangeable_poly2_raleigh_normal_,0.011013017392837809,0.014311771927037005
exchangeable_poly2_raleigh_raleigh_,0.00373954903414078,0.005148372203274823
exchangeable_poly2_raleigh_uni_,0.006312246258191202,0.019377715558398095
exchangeable_poly2_uni_normal_,0.0064599979708109935,0.009886568016252692
exchangeable_poly2_uni_raleigh_,0.0,0.0
exchangeable_poly2_uni_uni_,0.0,0.0
exchangeable_power_normal_normal_,0.015015118507909483,0.015161674653320384
exchangeable_power_normal_raleigh_,0.00181575456564219,0.009249011092729027
exchangeable_power_normal_uni_,0.0,0.0
exchangeable_power_raleigh_normal_,0.017188868453435417,0.010557446455223612
exchangeable_power_raleigh_raleigh_,0.018179070700758578,0.020014067061216837
exchangeable_power_raleigh_uni_,0.0,0.0
exchangeable_power_uni_normal_,0.013493092725297258,0.006301781117417774
exchangeable_power_uni_raleigh_,0.006677451129704611,0.007100267706321708
exchangeable_power_uni_uni_,0.0,0.0
